JOL_Bin,Direction,n,Average,CI,Lower,Upper
0,B,27,18.51851852,14.38830496,4.130213558,32.90682348
10,B,17,19.8983297,15.71193979,4.186389912,35.61026949
20,B,17,20.20697167,14.12058793,6.086383744,34.3275596
30,B,36,22.46484452,14.65961531,7.805229214,37.12445983
40,B,33,29.37710437,17.02264467,12.3544597,46.39974904
50,B,99,37.89562289,18.01351962,19.88210327,55.90914251
60,B,40,40.21291345,18.42742522,21.78548823,58.64033866
70,B,51,38.31573655,17.90847765,20.4072589,56.2242142
80,B,52,36.19452443,17.37529532,18.81922911,53.56981975
90,B,88,34.76523477,18.03560528,16.72962948,52.80084005
100,B,182,32.96703297,17.41250316,15.55452981,50.37953613
0,F,23,47.82608696,18.50274598,29.32334098,66.32883294
10,F,15,56.33885438,18.47905722,37.85979717,74.8179116
20,F,28,61.38447972,17.29884389,44.08563582,78.68332361
30,F,27,63.30367164,17.8870101,45.41666154,81.19068174
40,F,44,64.9703383,18.21156657,46.75877173,83.18190488
50,F,70,63.42712843,16.47179407,46.95533435,79.8989225
60,F,48,70.65323565,18.26122182,52.39201384,88.91445747
70,F,52,73.03418803,12.16875425,60.86543379,85.20294228
80,F,55,78.37606838,14.81620734,63.55986103,93.19227572
90,F,78,73.03037241,16.17377688,56.85659553,89.20414929
100,F,224,64.73214286,17.69809753,47.03404533,82.43024039
0,S,25,56,18.38642978,37.61357022,74.38642978
10,S,14,43.9047619,17.74823935,26.15652256,61.65300125
20,S,20,41.9047619,18.14607396,23.75868795,60.05083586
30,S,28,42,18.52025918,23.47974082,60.52025918
40,S,25,51.63963964,17.77944881,33.86019083,69.41908845
50,S,74,50.97297297,17.14329672,33.82967626,68.11626969
60,S,50,60.30630631,18.50543704,41.80086927,78.81174335
70,S,50,55.63398693,17.77944881,37.85453812,73.41343574
80,S,51,62.18300653,18.4310388,43.75196774,80.61404533
90,S,102,59.9902982,17.3283974,42.6619008,77.3186956
100,S,256,57.421875,18.31508788,39.10678712,75.73696288
0,U,192,6.25,8.966081919,-2.716081919,15.21608192
10,U,149,7.605528082,8.82421457,-1.218686488,16.42974265
20,U,95,9.168028082,11.36744635,-2.19941827,20.53547443
30,U,64,11.15460526,11.56068398,-0.406078717,22.71528924
40,U,25,13.07218992,12.03674375,1.035446177,25.10893367
50,U,42,11.3871409,13.67441861,-2.287277703,25.06155951
60,U,17,10.89591283,8.715416082,2.180496752,19.61132892
70,U,19,13.80288958,11.36744635,2.435443225,25.17033593
80,U,16,20.1754386,16.03901493,4.136423664,36.21445353
90,U,20,20.83333333,16.03901493,4.794318401,36.87234827
100,U,8,12.5,12.25,0.249999999,24.75
