"Direction","Jol_Bin","Average","lower","upper"
"B","0","17.9607496996667","16.465785714","33.1235907633333"
"B","1","20.2694294766667","12.5082079123333","37.1859229233333"
"B","2","14.640653637","15","31.9506859"
"B","3","15.688836172","16.394181889","29.4707418533333"
"B","4","24.5090223966667","18.94335574","41.5592722133333"
"B","5","25.3761443166667","34.7898878366667","35.3631476933333"
"B","6","27.627270029","24.62669311","43.12330689"
"B","7","28.8560344986667","26.1238591033333","43.7758132133333"
"B","8","25.2153336833333","23.1994940533333","38.4213581333333"
"B","9","36.5409116766667","36.7287193366667","47.27178754"
"B","10","40.3239436966667","20.74513224","47.20321434"
"F","0","39.5471932933333","32.7840704166667","57.4382228533333"
"F","1","40.66973181","27.6175839133333","61.7885463433333"
"F","2","54.7004776066667","44.88263589","73.49940895"
"F","3","44.4543209866667","30.8558046233333","66.11950402"
"F","4","60.0324539066667","39.5498795066667","79.06628212"
"F","5","65.4276919066667","64.8703310566667","75.9233197466667"
"F","6","57.9527464733333","43.20984473","73.6544136266667"
"F","7","60.95568787","52.0088837666667","77.4242858933333"
"F","8","69.4647097733333","54.16398942","81.0026772466667"
"F","9","70.8477423266667","64.46394281","80.0339463066667"
"F","10","72.0120441733333","42.97402519","77.6410541533333"
"S","0","37.89189186","26.1700591733333","56.1632741833333"
"S","1","30.082149817","21.3098652366667","50.5790236366667"
"S","2","34.5600902766667","14.5339593833333","61.5189506633333"
"S","3","33.13019055","23.19582354","51.62468928"
"S","4","43.72459775","27.7127590333333","63.4823357166667"
"S","5","60.8396351966667","56.13682494","72.60196471"
"S","6","43.7968572166667","34.9825997866667","61.1712463666667"
"S","7","52.1171325033333","37.6860945033333","68.5361277066667"
"S","8","51.5262325433333","46.7416729533333","64.7167770666667"
"S","9","60.17177975","56.97988476","69.5312999933333"
"S","10","64.2385158","37.36440361","69.79293791"
"U","0","8.03608232333333","3.45230373633333","12.127899494"
"U","1","8.14647141733333","32.804970235","13.5422089823333"
"U","2","10.065117253","33.0135031393333","15.6555355833333"
"U","3","2.95452160166667","7.09694210033333","11.6294224366667"
"U","4","11.5818846183333","11.4227755606667","24.143131948"
"U","5","10.172187406","13.4461294773333","20.4379279066667"
"U","6","1.930283239","5.66666666666667","13.1314408803333"
"U","7","7.78822043166667","6","24.7091707266667"
"U","8","13.5368422383333","7.594125869","33.5658749566667"
"U","9","9.11170406433333","7.038756968","24.31167039"
"U","10","18.9191727233333","11.6666666666667","39.4725505066667"
